Adj Close,Volume,macd,macd_h,macd_s
0.273574144,962483200,-0.003678473,-0.000549481,-0.003128992
0.256000221,626046400,-0.004241694,-0.000890162,-0.003351532
0.248876244,721369600,-0.00520292,-0.00148111,-0.00372181
0.256475151,566596800,-0.005290544,-0.001254987,-0.004035557
0.243651271,680108800,-0.006321892,-0.001829068,-0.004492824
0.243176445,592916800,-0.007095761,-0.00208235,-0.005013411
0.243176445,391249600,-0.007621206,-0.002086236,-0.00553497
0.256475151,689998400,-0.006885162,-0.001080154,-0.005805009
0.246976629,501446400,-0.006987743,-0.000946188,-0.006041556
0.255050391,264712000,-0.00634442,-0.000242292,-0.006102128
0.249351397,374348800,-0.006222711,-9.65E-05,-0.006126245
0.254100561,330612800,-0.005677591,0.000358924,-0.006036514
0.267399162,791492800,-0.004124943,0.001529257,-0.0056542
0.266449422,357448000,-0.002937236,0.002173571,-0.005110807
0.288772523,1150800000,-0.000192463,0.003934675,-0.004127138
0.302546114,1235035200,0.003058941,0.005748864,-0.002689922
0.29827109,199987200,0.00523045,0.006336298,-0.001105848
0.31061992,725312000,0.007857261,0.007170487,0.000686774
0.310144991,387352000,0.009787876,0.007280881,0.002506994
